service_url,name,latitude,longitude,city,postal_code,full_address
http://www.semanticweb.org/dreamkg/ijcai/service/location/4542572480692224,(no name),39.9028,-75.2391,Philadelphia,19153,"2901, Island Avenue, Eastwick, Southwest Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19153, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4666716061171712,(no name),39.9621,-75.2391,Philadelphia,19139,"Apartments at New Market West, 13, North Salford Street, Haddington, West Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19139, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4670495380209664,(no name),40.0311,-75.0218,Philadelphia,19136,"Rhawn Street, Northeast Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19136, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4689179354857472,(no name),40.0077,-75.1505,Philadelphia,19140,"Zion Community Center, 3601, North Broad Street, North Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19140, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4692155605712896,(no name),39.9927,-75.1398,Philadelphia,19133,"2721, North 5th Street, North Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19133, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4721819823112192,(no name),40.0816,-75.0682,Philadelphia,19111,"Tyler Court, Fox Chase, Northeast Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19111, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4744972327714816,(no name),39.9972,-75.7973,Coatesville,19320,"Coatesville Veterans Affairs Medical Center, 1400, Blackhorse Hill Road, Coatesville, Chester County, Pennsylvania, 19320, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4780892498952192,(no name),39.9348,-75.1678,Philadelphia,19147,"1228, South Broad Street, Hawthorne, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19147, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4780892498952192,(no name),39.9348,-75.2104,Philadelphia,19143,"Bartrams Garden Path, Southwest Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19143, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4780892498952192,(no name),39.9442,-75.1678,Philadelphia,19146,"1519, South Street, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19146, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4780892498952192,(no name),39.9442,-75.2104,Philadelphia,19143,"4617, Woodland Avenue, Southwest Schuylkill, West Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19143, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4785885511417856,(no name),39.9622,-75.1587,Philadelphia,19108,"Spring Garden Senior Center, Spring Garden Street, Poplar, North Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19108, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4795404263882752,(no name),39.9712,-75.1493,Philadelphia,19130,"801, West Girard Avenue, Ludlow, Olde Kensington, North Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19130, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4815968842022912,(no name),39.9089,-75.1627,Philadelphia,19145,"700, Packer Avenue, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4829363626049536,(no name),40,-75.2143,Philadelphia,19131,"Belmont Behavioral Hospital, Monument Road, Wynnefield Heights, West Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19131, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4831834257227776,(no name),40.0069,-75.208,Philadelphia,19127,"Monroe, 1, Winding Drive, Wynnefield Heights, West Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19127, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4873770804707328,(no name),40.0914,-74.9878,Philadelphia,19154,"10980, Dutton Road, Northeast Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19154, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4874573658193920,(no name),39.9257,-75.1678,Philadelphia,19148,"1939, South Juniper Street, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19148, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4895435468308480,(no name),40.056,-75.1648,Philadelphia,19138,"Parkway Northwest High School, Crittenden Street, East Germantown, Northwest Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19138, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4909220273061888,(no name),40.0356,-75.1734,Philadelphia,19144,"52, East Woodlawn Street, Wister, Northwest Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19144, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4914263431577600,(no name),39.9478,-75.1679,Philadelphia,19145,"253, South 16th Street, Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4921265385242624,(no name),39.9426,-75.1651,Philadelphia,19146,"Mazzoni Center, 1334, Bainbridge Street, Bella Vista, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19146, United States"
http://www.semanticweb.org/dreamkg/ijcai/service/location/4955538569953280,(no name),39.9936,-75.1123,Philadelphia,19134,"3147, Emerald Street, Richmond, River Wards, Philadelphia, Philadelphia County, Pennsylvania, 19134, United States"
